"Horodateur","Provide us your anonymous identifier","Submit an archive named “smart_X_Y_v2.zip” where‘X’ is either “messenger” or “calculator” and ‘Y’ is your same anonymous identifier you have used since the beginning of the semester. This archive must contain a folder containing all your source code of your smart system and must include the programming language you have maybe extended for the user interface framework For guaranteeing anonymity please make sure that your real names are not in the metadata of any file or directory. Your archive cannot exceed 10MB. ","Do you have any further interesting points about our approach you have forgotten to tell us during the last survey?"
"2020/12/12 7:33:49 PM UTC+1","Harry Potter","https://formfacade.com/uploaded/1FAIpQLSdwfvzYtE4dNag59sXQ5mmflR6-14TIq0yY05-LIws5gagM9Q/4fe4c5d0-3ca7-11eb-9c9d-efcfb4fc8f55/458506869/smart_calculator_Harry_Potter_V2.zip","L'utilisation de la fonction ""create_ui_element_on_below_of"" ne fonctionne pas de la manière attendu ou cause des incompréhensions dans le système d'affichage des layout. Exemple: Une fois qu'on ajoute 2 autres layout en dessous d'un autre avec create_ui_element_on_below_of(), cela ne nous permet plus, par la suite, de supprimer un de ces 2 layout (avec le moyen habituel : ""remove_ui_element"". Dans ce cas ci, la fonction ne supprime que le ""comportement"" du layout mais pas son affichage (reste visible alors qu'il est supprimé))."
"2020/12/13 8:11:40 PM UTC+1","AudeJavel","https://formfacade.com/uploaded/1FAIpQLSdwfvzYtE4dNag59sXQ5mmflR6-14TIq0yY05-LIws5gagM9Q/c77c4ee0-3d76-11eb-81c7-b96ad16570e7/458506869/smart_messenger_AudeJavel_v2.zip",""
"2020/12/14 8:18:45 AM UTC+1","XAEA-XII","https://formfacade.com/uploaded/1FAIpQLSdwfvzYtE4dNag59sXQ5mmflR6-14TIq0yY05-LIws5gagM9Q/857a77a0-3ddb-11eb-a989-996d8cd1444f/458506869/smart_calculator_XAEA-XII_v2.zip","With our extended practical knowledge with the visualization tools, we realize how great it is to develop and debug in a Context-Oriented Programming language. It truly adds value and helps understanding exactly how the program we developed works under the hood.
We cannot wait to see what COP has to offer in the near future!"
"2020/12/14 6:37:33 PM UTC+1","Walter White","https://formfacade.com/uploaded/1FAIpQLSdwfvzYtE4dNag59sXQ5mmflR6-14TIq0yY05-LIws5gagM9Q/605963d0-3e32-11eb-9916-dff9d9730371/458506869/smart_messenger_Walter%20White_v2.zip","Nothing except for the fact that we needed to add a widget for our application, so please check the readme.txt file."
"2020/12/15 3:49:41 PM UTC+1","BulldOzer","https://formfacade.com/uploaded/1FAIpQLSdwfvzYtE4dNag59sXQ5mmflR6-14TIq0yY05-LIws5gagM9Q/5cc6cc50-3ee4-11eb-8c72-9da53a908e51/458506869/smart_messenger_bulldOzer_v2.zip",""
"2020/12/15 4:39:31 PM UTC+1","RenéMagritte","https://formfacade.com/uploaded/1FAIpQLSdwfvzYtE4dNag59sXQ5mmflR6-14TIq0yY05-LIws5gagM9Q/abb9e180-3ee9-11eb-8330-71e1a9e4f4d4/458506869/smart_calculator_Ren%C3%A9Magritte_v2.zip","/"
"2020/12/16 11:11:48 AM UTC+1","Anonymous ultima","https://formfacade.com/uploaded/1FAIpQLSdwfvzYtE4dNag59sXQ5mmflR6-14TIq0yY05-LIws5gagM9Q/469d17c0-3f86-11eb-8b6c-83496b3228b4/458506869/smart_messenger_Anonymous_ultima_v2.zip",""
"2020/12/16 3:44:22 PM UTC+1","","",""
"2020/12/16 4:56:52 PM UTC+1","FTR","https://formfacade.com/uploaded/1FAIpQLSdwfvzYtE4dNag59sXQ5mmflR6-14TIq0yY05-LIws5gagM9Q/0a4f50a0-3fb6-11eb-b594-e540a0b1e942/458506869/smart_messenger_FTR_v2.zip","We would need a documentation to use this language. Because unfortunately two or three class sessions of 20 minutes and the source code are not enough in order to completely understand and implement the language. Because of this we are losing a lot of time."
