"Horodateur","Provide us your anonymous identifier","Submit your PDF report here. Your report must be named ""first_design_X.pdf"", where 'X' is your anonymous identifier.  Your report must contain a lexicon describing the contexts and the features of your assigned context-oriented system, a context and feature model of the system, as well as the mapping between these models. Ensure you that your PDF file does not contain any specific author information in its metadata. (If you use LaTeX to create your report and pdflatex to generate the PDF file, it will normally not store any author information as metadata in your PDF file. But please verify it in any case. If needed, delete this metadata. With this you are sure to keep your anonymity.) You PDF file cannot exceed 10MB.","With this question we want to assess your feeling about the perceived difficulty of your first experiment in designing a context-oriented systems. Can you express, on a Likert scale, how difficult you felt it was to design such a system?","Although we did not propose you to use a particular methodology yet to design such a system (we will present you such a methodology later), maybe during this first experience in modelling your assigned case study, you did use some kind of structured approach or series of steps to come up with a relevant set of contexts and features of your system, as well as the mapping between them. With this question we would like to understand what kind of ad-hoc methodology you came up with. What steps did you follow to discover and define relevant features and contexts and the mapping between the two? In what order did you do this? Try to explain your approach in your own words, or just answer this question by writing ""We did not follow a specific approach."" otherwise."
"2020/09/30 9:02:58 AM UTC+1","Gandalf","https://formfacade.com/uploaded/1FAIpQLSc7DPUgrMmuJa5wFsrF8zMFbygZ4RXeMRgL-JWt8YYuEDYRsA/0f8190b0-02f3-11eb-8b70-256c15db4f61/894292623/Lab2_LINGI2252.pdf","3","We based ourselves on existing apps to come up with ideas for features and then thought on how different contexts could affect those features."
"2020/09/30 9:20:56 AM UTC+1","X AE A-XII","https://formfacade.com/uploaded/1FAIpQLSc7DPUgrMmuJa5wFsrF8zMFbygZ4RXeMRgL-JWt8YYuEDYRsA/7982a420-02f5-11eb-976d-4f42ff1fe017/894292623/first_design_X%20AE%20A-XII.pdf","4","We used our own experience. First, we designed the features following our wants and needs. Then, we defined the contexts based on our personal feelings: e.g. we need ""urgent"" notifications, depending on how ""important"" the contact is, ... The mapping between the two was then natural."
"2020/09/30 11:37:57 AM UTC+1","AudeJavel","https://formfacade.com/uploaded/1FAIpQLSc7DPUgrMmuJa5wFsrF8zMFbygZ4RXeMRgL-JWt8YYuEDYRsA/0135eb10-0306-11eb-bf4e-3955adbe2adc/894292623/first_design_AudeJavel.pdf","3","We did not follow a specific approach."
"2020/10/02 3:17:09 PM UTC+1","Harry Potter","https://formfacade.com/uploaded/1FAIpQLSc7DPUgrMmuJa5wFsrF8zMFbygZ4RXeMRgL-JWt8YYuEDYRsA/a0a62a30-04b8-11eb-9f7a-95055fd36314/894292623/first_design_Harry_Potter.pdf","2","Nous avons commencé par faire une liste des différents contextes possibles et puis nous avons modélisé juste la partie ""contexte"". Ensuite, de la même manière nous avons fait la liste des différentes features ainsi que le diagramme associé. On s'est rendu compte que les contextes nécessitaient certaines features ce qui nous a permis d'en rajouter pour plus de clarté. Finalement, nous avons ajouté les liens entre le ""context model"" et le ""feature model""."
"2020/10/03 2:41:41 PM UTC+1","RenéMagritte","https://formfacade.com/uploaded/1FAIpQLSc7DPUgrMmuJa5wFsrF8zMFbygZ4RXeMRgL-JWt8YYuEDYRsA/dde1f9f0-057c-11eb-b5c3-35c2710e9e39/894292623/_LINGI2252____Mission_2.pdf","3","After a few minutes of reflection, we decided to begin the construction of the context model in order to find features to add to the application. In final, any element which is part of our context model has an impact on the execution of one or more features of the application. "
"2020/10/03 5:43:37 PM UTC+1","Les Fifous","https://formfacade.com/uploaded/1FAIpQLSc7DPUgrMmuJa5wFsrF8zMFbygZ4RXeMRgL-JWt8YYuEDYRsA/8a1d2050-0596-11eb-a560-d7a6b27602cb/894292623/first_design_LesFifous.pdf","3","We did not follow a specific approach."
"2020/10/04 9:02:30 AM UTC+1","FTR","https://formfacade.com/uploaded/1FAIpQLSc7DPUgrMmuJa5wFsrF8zMFbygZ4RXeMRgL-JWt8YYuEDYRsA/2e471670-0616-11eb-816e-cbdba3c0e9d8/894292623/first_design_FTR.pdf","2","Firstly, we tried to find all the possible functionalities of our calculator. After listing them, we made the features diagram. Secondly, we added the constraints to our diagram. Then, we made the context diagram with all the possible contexts we had thought of. We then defined the lexicon to define each of our functions and context if the name chosen was not explicit enough. And finally, we made our model diagram."
"2020/10/04 2:36:51 PM UTC+1","Walter White","https://formfacade.com/uploaded/1FAIpQLSc7DPUgrMmuJa5wFsrF8zMFbygZ4RXeMRgL-JWt8YYuEDYRsA/0f5506c0-0646-11eb-996d-8d06087e59ce/894292623/first_design_Walter_White.pdf","3","We did not follow a specific approach"
"2020/10/05 12:20:11 PM UTC+1","garfield","https://formfacade.com/uploaded/1FAIpQLSc7DPUgrMmuJa5wFsrF8zMFbygZ4RXeMRgL-JWt8YYuEDYRsA/635e1ed0-06fc-11eb-99d0-317465a37a2d/894292623/first_design_garfield.pdf","3","We did not follow a specific approach"
